id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1615964448157753344,1615741990662197248,2023-01-19 10:48:42 +04,2023-01-19,10:48:42,+0400,1546352669781999622,emeowtions,🧚 CLIMATE CHANGE IS REAL 🧚,,@adoseofmars yikesss i have scorpio in 2nd house w pluto!!,en,[],[],[],0,0,0,[],[],https://twitter.com/emeowtions/status/1615964448157753344,False,,0,,,,,,,,"[{'screen_name': 'adoseofmars', 'name': 'Little Wild Woman', 'id': '1545426867536084992'}]",,,,
1615964440851005440,1615701071661522944,2023-01-19 10:48:40 +04,2023-01-19,10:48:40,+0400,1586745546924072960,furcifervindice,Don Davis,,"@MikeHudema May as well run out in the middle of the street and cut your own throat for all the good any of this bullshit is going to do.  The ""climate"" WILL CHANGE.  PERIOD.  If you're afraid of living on the coast, then MOVE.  Earth is OVERDUE for a tropical phase.",en,[],[],[],0,0,0,[],[],https://twitter.com/Furcifervindice/status/1615964440851005440,False,,0,,,,,,,,"[{'screen_name': 'MikeHudema', 'name': 'Mike Hudema', 'id': '15088481'}]",,,,
1615964435864244224,1615964435864244224,2023-01-19 10:48:39 +04,2023-01-19,10:48:39,+0400,1104339685810233346,indiawaterfoun1,India Water Foundation,,#ClimateChange #DisasterRiskReduction #EcosystemRestoration #Environment #Flood #GDP @PMO_NaMo @narendramodi @gssjodhpur @byadavbjp @g20org @NITIAayog @AMishra_NITI @nitin_gadkari @UNESCAP @UNEP @drarvindkumar1 @sshwetatyagi @UNECOSOC @GYBN_CBD @IUCN_ecosystem @gaspworld,qme,"[{'screen_name': 'pmo_namo', 'name': 'pmo office india', 'id': '2514569874'}, {'screen_name': 'narendramodi', 'name': 'narendra modi', 'id': '18839785'}, {'screen_name': 'gssjodhpur', 'name': 'gajendra singh shekhawat', 'id': '2371536685'}, {'screen_name': 'byadavbjp', 'name': 'bhupender yadav', 'id': '391901721'}, {'screen_name': 'g20org', 'name': 'g20 india', 'id': '925441731331543040'}, {'screen_name': 'nitiaayog', 'name': 'niti aayog', 'id': '1244137812'}, {'screen_name': 'amishra_niti', 'name': 'avinash mishra', 'id': '2961282498'}, {'screen_name': 'nitin_gadkari', 'name': 'nitin gadkari', 'id': '97217966'}, {'screen_name': 'unescap', 'name': 'united nations escap', 'id': '44031134'}, {'screen_name': 'unep', 'name': 'un environment programme', 'id': '38146999'}, {'screen_name': 'drarvindkumar1', 'name': 'dr arvind kumar', 'id': '136603764'}, {'screen_name': 'sshwetatyagi', 'name': 'shweta tyagi', 'id': '361748995'}, {'screen_name': 'unecosoc', 'name': 'un ecosoc president', 'id': '504914052'}, {'screen_name': 'gybn_cbd', 'name': 'global youth biodiversity network (gybn)', 'id': '773304224'}, {'screen_name': 'iucn_ecosystem', 'name': 'iucn ecosystem', 'id': '1115171618064601088'}, {'screen_name': 'gaspworld', 'name': 'global alliance for a sustainable planet', 'id': '1374460939202748416'}]",[],[],0,0,0,"['climatechange', 'disasterriskreduction', 'ecosystemrestoration', 'environment', 'flood', 'gdp']",[],https://twitter.com/IndiaWaterFoun1/status/1615964435864244224,False,https://twitter.com/focusglobalrep1/status/1540197040147529733,0,,,,,,,,[],,,,
1615964421523705856,1615964421523705856,2023-01-19 10:48:35 +04,2023-01-19,10:48:35,+0400,1230500518033752065,olalekesteven,Steve,,"The Nigerian government needs to start focusing on climate change issues and pollution. The pollution in big cities is going out of hand, Ibadan is a typical example.",en,[],[],[],0,0,0,[],[],https://twitter.com/OlalekeSteven/status/1615964421523705856,False,,0,,,,,,,,[],,,,
1615964408999706625,1615964408999706625,2023-01-19 10:48:32 +04,2023-01-19,10:48:32,+0400,1602387760878190592,mikeluatuat,Mikaele Tanuvasa,,Look how fake they filming her pretending that the authorities are arresting her . Climate change fake ass mother fuckers ..,en,[],[],[],0,0,0,[],[],https://twitter.com/mikeluatuaT/status/1615964408999706625,False,https://twitter.com/papitrumpo/status/1615752814621327360,0,,,,,,,,[],,,,
1615964406588018689,1615963046069043202,2023-01-19 10:48:32 +04,2023-01-19,10:48:32,+0400,15277082,zara_p,zara_p (parody),,In fact when we are talking about Loss and Damage financing (payments to countries to help them recover from disasters caused by climate change) - shouldn't it be these companies who should be paying?,en,[],[],[],0,0,0,[],[],https://twitter.com/zara_p/status/1615964406588018689,False,,0,,,,,,,,[],,,,
1615964345938092032,1615964345938092032,2023-01-19 10:48:17 +04,2023-01-19,10:48:17,+0400,196050556,jayhawk_02,Alex H,,I’m relieved this isn’t a before/after climate change gif  For once,en,[],[],[],0,0,0,[],[],https://twitter.com/JayHawk_02/status/1615964345938092032,False,https://twitter.com/us_stormwatch/status/1615517836939767808,0,,,,,,,,[],,,,
1615964327609257984,1615130844922011649,2023-01-19 10:48:13 +04,2023-01-19,10:48:13,+0400,1312432059634405376,zocktkatze,Katze Zockt,,"@jennaezarik I use fhe the same $700 lenovo laptop for four years already, upgraded it instead of buying a new one. People are buying $7000 macbooks every year and go to get some starbucks every day. And then they think that I am the problem to climate change? I don't understand the world.",en,[],[],[],0,0,0,[],[],https://twitter.com/ZocktKatze/status/1615964327609257984,False,,0,,,,,,,,"[{'screen_name': 'jennaezarik', 'name': 'Jenna Ezarik', 'id': '6015992'}]",,,,
1615964324903944193,1615882427242520579,2023-01-19 10:48:12 +04,2023-01-19,10:48:12,+0400,889637164581085186,destroythemtrx,John Hopkins,,"@ra_fun @Lowertaxeswork1 @TheLastRefuge2 @LisaMarieBoothe @LindseyGrahamSC I care more about policy and outcomes… if you want to talk about hirings, Ron hired a WEF green activist to run his climate change bs and hired people as his donors who have ties to the CCP, that same person told Ron to stop sending busses to MV. I could go on with his policies",en,[],[],[],0,0,0,[],[],https://twitter.com/DestroyTheMTRX/status/1615964324903944193,False,,0,,,,,,,,"[{'screen_name': 'ra_fun', 'name': '🇺🇲/🇺🇲', 'id': '4788946161'}, {'screen_name': 'Lowertaxeswork1', 'name': 'Lowertaxeswork', 'id': '1407016946999037955'}, {'screen_name': 'TheLastRefuge2', 'name': 'TheLastRefuge', 'id': '594886554'}, {'screen_name': 'LisaMarieBoothe', 'name': 'Lisa Boothe 🇺🇸', 'id': '121574367'}, {'screen_name': 'LindseyGrahamSC', 'name': 'Lindsey Graham', 'id': '432895323'}]",,,,
1615964319853973504,1615730024279150592,2023-01-19 10:48:11 +04,2023-01-19,10:48:11,+0400,76987535,j0nathandavis,Jonathan Davis FCII FPFS 🇳🇱 🚜 TG: jdcapitalist,,@tomselliott There is no man made climate change. Obviously!,en,[],[],[],0,0,0,[],[],https://twitter.com/j0nathandavis/status/1615964319853973504,False,,0,,,,,,,,"[{'screen_name': 'tomselliott', 'name': 'Tom Elliott', 'id': '49698174'}]",,,,
1615964280310083584,1615795885086019586,2023-01-19 10:48:02 +04,2023-01-19,10:48:02,+0400,1281997237543813120,eyeddiamond,Blue_eyed_Diamond,,@ronin19217435 Oh goody. Minimum 47 more years of climate change hysteria.,en,[],[],[],0,0,0,[],[],https://twitter.com/EyedDiamond/status/1615964280310083584,False,,0,,,,,,,,"[{'screen_name': 'ronin19217435', 'name': 'nikola 3', 'id': '1476323517046140931'}]",,,,
1615964249746014209,1615964249746014209,2023-01-19 10:47:54 +04,2023-01-19,10:47:54,+0400,1481993084795768833,the_climate1,IKANI ISRAEL,,"This is shocking,  1.Failure to mitigate climate change   2.Biodiversity loss and ecosystem collapse.  3.Natural disasters and extreme weather events are among the🔝 10 identified risks confronting the world over the next two years.   https://t.co/qRndiCf8xf…  https://t.co/bXXlfm3K8F",en,[],['http://weforum.org/reports/global'],['https://pbs.twimg.com/media/Fm0O6BlXgAIx38Y.jpg'],0,0,0,[],[],https://twitter.com/The_climate1/status/1615964249746014209,False,,1,https://pbs.twimg.com/media/Fm0O6BlXgAIx38Y.jpg,,,,,,,[],,,,
1615964248395632642,1615940942263123973,2023-01-19 10:47:54 +04,2023-01-19,10:47:54,+0400,1525416190885101573,mr__x_r_p,🔥pattayathailand.eth for sale!🔥,,@kevinhaddad08 This fat 🤡 hasn’t missed a meal……….he eats good on the climate change donations….smh  https://t.co/rUDjkZICFY,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/Fm0O6pdXgAQKZ1c.jpg'],0,0,1,[],[],https://twitter.com/Mr__X_R_P/status/1615964248395632642,False,,1,https://pbs.twimg.com/tweet_video_thumb/Fm0O6pdXgAQKZ1c.jpg,,,,,,,"[{'screen_name': 'kevinhaddad08', 'name': 'ULTRA MAGA KEVIN WITH STOLEN NUCLEAR CODES', 'id': '267595237'}]",,,,
1615964161015705600,1615964161015705600,2023-01-19 10:47:33 +04,2023-01-19,10:47:33,+0400,29646961,garrettjbrowne,Jack Browne,,"There is now a second opportunity (shit, climate change, amirite guys?) to blow up a whale. Blow up the whale.",en,[],[],[],0,0,0,[],[],https://twitter.com/GarrettJBrowne/status/1615964161015705600,False,,0,,,,,,,,[],,,,
1615964124814667776,1615669957228105730,2023-01-19 10:47:25 +04,2023-01-19,10:47:25,+0400,1021702251247689728,meetime7,Mee Time,,@catturd2 Climate change is a cyclical phenomenon which happens with 10000 year cycles so it's slow to measure and may not affect our future amd past generations but if we stop using excess and be mindful of our actions it won't hurt us?,en,[],[],[],0,0,0,[],[],https://twitter.com/MeeTime7/status/1615964124814667776,False,,0,,,,,,,,"[{'screen_name': 'catturd2', 'name': 'Catturd ™', 'id': '1043185714437992449'}]",,,,
1615964112013361154,1615661790024581129,2023-01-19 10:47:22 +04,2023-01-19,10:47:22,+0400,830620951981101056,sirtomselleck,Mr Tom Selleck,,"@TorontoStar One of the best ways to combat climate change is stop billionaires and Libtard government leaders from flying to Davos for a taxpayer funded junket ! But, you’ll never be honest about that , right ?",en,[],[],[],0,0,0,[],[],https://twitter.com/SirTomSelleck/status/1615964112013361154,False,,0,,,,,,,,"[{'screen_name': 'TorontoStar', 'name': 'Toronto Star', 'id': '12848262'}]",,,,
1615964076907323393,1615964076907323393,2023-01-19 10:47:13 +04,2023-01-19,10:47:13,+0400,1036713343,shahradinesh,Dr. Dinesh Shahra,,"Despite increased awareness, world’s forest area continues to decline, with the total loss since 1990 now amounting to around 178 million hectares. This trend has to be stopped and reversed to mitigate climate change.  #Sustainability #GreenGoldDay  https://t.co/Pv9e15IXl0",en,[],[],['https://pbs.twimg.com/media/Fm0OtuBaYAEtk0R.jpg'],0,0,0,"['sustainability', 'greengoldday']",[],https://twitter.com/ShahraDinesh/status/1615964076907323393,False,,1,https://pbs.twimg.com/media/Fm0OtuBaYAEtk0R.jpg,,,,,,,[],,,,
1615964044510248961,1615717480533733377,2023-01-19 10:47:06 +04,2023-01-19,10:47:06,+0400,1519431991770365954,tonyyak1,Courtesy Flush💩🚽🪠🤢,,"@ShellenbergerMD Maybe the oligarchs along with WEF have been working on a ""natural disaster"" apparatus to kill as many as it can in the name of climate change. This individual may be speaking truth in a roundabout way. Sry, got my tinfoil hat on.👽",en,[],[],[],0,0,0,[],[],https://twitter.com/tonyyak1/status/1615964044510248961,False,,0,,,,,,,,"[{'screen_name': 'ShellenbergerMD', 'name': 'Michael Shellenberger', 'id': '2474749586'}]",,,,
1615963997223755777,1615872211864408064,2023-01-19 10:46:54 +04,2023-01-19,10:46:54,+0400,2148896100,lairdsummerisle,Summerisle🧐,,@ka8895 @LessGrumpy @NicolaSturgeon Especially after Ardern gets a nice sinecure at the UN writing green ink missives on climate change.,en,[],[],[],0,0,0,[],[],https://twitter.com/LairdSummerisle/status/1615963997223755777,False,,0,,,,,,,,"[{'screen_name': 'ka8895', 'name': 'Ron Kane', 'id': '2255784112'}, {'screen_name': 'LessGrumpy', 'name': 'GrumpyByName #2706 on the list', 'id': '24937181'}, {'screen_name': 'NicolaSturgeon', 'name': 'Nicola Sturgeon', 'id': '160952087'}]",,,,
1615963988503699458,1615862774978027521,2023-01-19 10:46:52 +04,2023-01-19,10:46:52,+0400,3957052515,melissamakes777,❤️ Melissamakes777 ❤️,,@hrkbenowen I’m thinking Al Gore is in financial distress right about now. Someone help IN THE NAME OF CLIMATE CHANGE!,en,[],[],[],0,0,0,[],[],https://twitter.com/MelissaMakes777/status/1615963988503699458,False,,0,,,,,,,,"[{'screen_name': 'hrkbenowen', 'name': 'Ben Owen🇺🇸', 'id': '542962969'}]",,,,
